,Unnamed: 0,Name,First Price,Price,Discount,Product_link,Image Link
11,11,222-223 Analog Watch - For Men,799,242,69% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
12,12,New Sport Stylish Digital Black Dial Multi Function Chr...,"1,399",271,80% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
13,13,Best Designer Pink Butterfly & Heart Bracelet Combo Ana...,799,269,66% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
14,14,38024PP59W Tees Analog Watch - For Men & Women,850,595,30% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
15,15,Analog Watch - For Boys,999,197,80% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
16,16,Magnet Strap Girls Women GRG Rishtey Rose Gold Magnetic...,"1,499",274,81% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
17,17,HMTY-7008 ORIGINAL GOLD PLATED DAY & DATE FUNCTIONING F...,"2,999",524,82% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
18,18,ES109 Chronograph Pattern Combo of 3 watches Analog Wat...,"2,995",465,84% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
19,19,COMBO KIDS PACK OF 2 APPLE SHAPE DIGITAL Digital Watch ...,499,170,65% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
20,20,goldmines-1 Analog-Digital Watch - For Boys,"1,649",368,77% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
21,21,Brand - A Digital Watch With Square LED Shockproof Mult...,999,273,72% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
22,22,"Green Army Multi-Function Alrm, Stop Watch Functionalit...","1,499",262,82% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
23,23,COMBO KIDS PACK OF 2 APPLE SHAPE DIGITAL Digital Watch ...,499,170,65% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
24,24,New Gen Black S-Shock Black Sports Water Resistant Digi...,999,246,75% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
25,25,VH000008C Analog Watch - For Women,"2,999","1,339",55% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
26,26,Combo of Red Watch and Red Bracelet for women latest co...,999,234,76% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
27,27,RWS0272S Golden Analog Watch - For Men,"2,199",299,86% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
28,28,New Stylish Dial And With Black Led And Bracelet watch ...,"1,798",279,84% off,https://www.flipkart.com/new-fashion-watch-girls-analog/p/itm1960ea57f6317?pid=XWWGC8XSBXQGYUT2&lid=LSTXWWGC8XSBXQGYUT2TPVUMP&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_2tPDiWJpXVQoLDbYctSRHeoaN43Wt20j6ETf4wutXC5S96Q7J2HlHHLqKuAlCOCjVKZwpvqGYzTH436At2kOCg%3D%3D&ssid=2g2s0jw18w0000001672054104326&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/l4iscy80/shopsy-watch/h/y/m/2-stylish-watch-and-bracelet-combo-for-women-and-girls-praizy-original-imagfeuhzwhmjzds.jpeg?q=70
