,name,price,style,volulme,ABV,origin,description
10,Beerwulf Beer Glass and Opener Kit,£ 30.99,,,,,"Pour your favourite beer into our beautiful Beerwulf beer glasses. This case contains 3 Beerwulf Lager and 3 Beerwulf Tasting Beer Glasses. Plus, to get you kitted out like a real bar we've added a Beerwulf bottle opener!"
11,Bellfield Full Moon Stout - 2L SUB Keg,£ 16.99,Porter & Stout,2 Litres,6.0%,United Kingdom,"A jet black beer with an inviting off-white head. Rich coffee, chocolate and malty aromas combine with dark and red fruit flavours. The inclusion of dates adds to the complexity. A strong and lingering finish."
12,Gösser Zwickl - 2L SUB Keg,£ 10.99,Lager,2 Litres,5.2%,Austria,"This Austrian Zwickl or Kellerbier, is unfiltered and therefore naturally cloudy. It is brewed with four different types of malt and Celeia-aroma hop from Leutschach in Styria, Austria. The beer is soft in character with a fruity and herbal finish."
13,Desperados - 8L BLADE Keg,£ 39.99,Lager,8 Litres,5.9%,France,This lager has a distinctive combination of a full-bodied lager with a boost of Tequila flavour that's been shaking up the traditional beer market since day one. It has a light and refreshing taste profile balanced with spicy and lemony notes for sweetness.
14,Desperados - 2L SUB Keg,£ 11.99,Lager,2 Litres,5.9%,France,This lager has a distinctive combination of a full-bodied lager with a boost of Tequila flavour that's been shaking up the traditional beer market since day one. It has a light and refreshing taste profile balanced with spicy and lemony notes for sweetness.
15,Newcastle Brown Ale - 2L SUB Keg,£ 11.29,Brown Ale,2 Litres,4.7%,United Kingdom,"Copper-coloured, clear brown beer with little foam. This classic beer has aromas of roasted malt, hints of toast and notes of caramel and nuts. A soft and modest bitter note can be found in the aftertaste."
16,All-rounder Beer Tasting Case,£ 43.99,,,,,"Organize a delicious beer tasting with Beerwulf directly at home! You will find in this case a selection of beers that will allow you to discover all the diversity that beer has to offer. This beer case contains 15 beers of different styles, as well as a complimentary Beerwulf glass, so you can find your new favourite with ease!"
17,BLADE Beer Tap,£ 469,,,,,"BLADE is a compact draught appliance designed to serve premium quality beer. The draught dispenser has a compact footprint, suitable for any countertop. All you need to do is plug in the machine and you're ready to pour!
However, this product does not come with a keg. Click here for BLADE Starter Packs, these include the appliance and kegs."
18,La Chouffe Blonde D'ardenne - 2L SUB Keg,£ 18.99,Blond Beer,2 Litres,8.0%,Belgium,"This golden blonde beer is slightly hazy with a robust head, with a spicy aroma with lots of citrus and coriander along with additional floral notes. Delicious!"
19,Beerwulf Lager Beer Glass Case,£ 25.99,,,,,"These beer glasses are perfect for tapping or serving lagers and pilsners.
The right glassware can make all the difference to your experience!
This case contains 6 Lager Beer Glasses.
Content: 400ml
Serving suggestion: 300ml
Dishwasher safe (We recommend washing your glasses by hand!)"
20,Affligem Dubbel - 2L SUB Keg,£ 12.99,Dubbel Beer,2 Litres,6.8%,Belgium,"This double beer from the Affligem brewery combines its malty flavour with a soft spicy aroma. The toasted malt and caramel aromas give it a full, well-rounded flavour and the unique, spicy character provides more depth. A delicate bitterness tops off its notes of spice and caramel biscuit."
21,Pelforth Blonde - 5L Draught Keg,£ 24.99,Blond Beer,5 Litres,5.8%,France,"Pelforth Blonde is a bottom-fermented blonde beer, brewed using an unchanged recipe since its creation in Lille's Pelican Brewery in 1921. It has a subtle taste with a fruity touch and round finish."
22,Puntigamer - 8L BLADE Keg,£ 37.99,Lager,8 Litres,5.1%,Austria,"Wherever there is a good atmosphere, this lager from Puntigamer is indispensable. The pleasantly malty, fruity taste and the finely tuned hops give Austria’s most popular Märzen beer its unique character."
23,Fruh Kölsch - 2L SUB Keg,£ 13.99,Lager,2 Litres,4.8%,Germany,"Früh Kölsch is a refreshing thirst-quencher, a speciality from the German city of Cologne. This beer is brewed with a view of the Cologne Cathedral, a real Kölsch! Pale gold in colour with a good lasting head. The hoppy, dry finish is from using Hallertau and Tettnang hops."
24,Desperados - 5L Draught Keg,£ 26.99,Lager,5 Litres,5.9%,France,This lager has a distinctive combination of a full-bodied lager with a boost of Tequila flavour that's been shaking up the traditional beer market since day one. It has a light and refreshing taste profile balanced with spicy and lemony notes for sweetness.
25,Birra Moretti L'Autentica - 2L SUB Keg,£ 11.29,Lager,2 Litres,4.6%,Italy,"Birra Moretti is one of the world's most beloved lagers - and with good reason! Light, refreshing and easy to drink, this beer is not only great for sharing with loved ones, but also a classic pub pint. Brewed traditionally with barley malt, this timeless brew is one of our bestselling kegs. Cheers!"
26,Edelweiss Hefetrüb - 8L BLADE Keg,£ 38.99,German Wheat Beer,8 Litres,5.3%,Austria,"The Edelweiss Hefetraub is a cloudy wheat beer with a firm white head. Banana, coriander and yeast can be recognized in the aroma. The taste is fairly sweet with a long finish."
27,Cosy Belgian Beer Case,£ 40.99,,,,,"These classic Belgian beers will be perfect for tucking up by the fire with this winter, with strong flavours that pair perfectly with hearty dishes. Earliest expiry date: 30/03/2023"
28,Edelweiss Hefetrüb - 2L SUB Keg,£ 11.29,German Wheat Beer,2 Litres,5.3%,Austria,"The Edelweiss Hefetraub is a cloudy wheat beer with a firm white head. Banana, coriander and yeast can be recognized in the aroma. The taste is fairly sweet with a long finish."
29,Pelforth Blonde - 2L SUB Keg,£ 10.99,Blond Beer,2 Litres,5.8%,France,"Pelforth Blonde is a bottom-fermented blonde beer, brewed using an unchanged recipe since its creation in Lille's Pelican Brewery in 1921. It has a subtle taste with a fruity touch and round finish."
30,Beerwulf Mixed Beer Glass Case,£ 26.99,,,,,"The Beerwulf Tasting Glasses are specially designed for tasting beers properly, while the Lager Glasses are optimum for enjoying lagers and pilsners.
This case contains 3 Tasting and 3 Lager Beer Glasses.
Content: 400ml
Serving suggestion: 300ml
Dishwasher safe (We recommend washing your glasses by hand!)"
31,Birra Moretti Beer Glass Case 2 Pack,£ 12.49,,,,,"If you love Birra Moretti, you need some stunning glasses to match! These glasses will fit in any up-and-coming pub shed or kitchen cupboard and will allow you to bring a true pub experience home.
This case contains 2 Birra Moretti Beer Glasses:
Content: 275ml
Serving suggestion: 250ml
Dishwasher safe (We recommend washing your glasses by hand!)"
32,Frosty Beer Case,£ 33.99,,,,,"This beer case contains seven delicious beers ideal for the Christmas period - what a great way to spend the holidays with your loved ones, raising a glass together. Earliest beer expiry date: 25/01/2023"
33,Beerwulf Tasting Beer Glass Case,£ 27.99,,,,,"These beer glasses are specially designed to get the most from your beer and bring out all those fabulous aromas. They are the perfect way to taste a beer properly!
This case contains 6 Tasting Beer Glasses.
Content: 400ml
Serving suggestion: 300ml
Dishwasher safe (We recommend washing your glasses by hand!)"
34,Messina Cristalli Di Sale - 8L BLADE Keg,£ 37.99,Lager,8 Litres,5.0%,Italy,"A refreshing pale yellow Lager with a strong white head, Malty aroma’s and sweet fruity and spicy tones give this beer a very soft and friendly character."
35,Amstel - 2L SUB Keg,£ 9.59,Lager,2 Litres,5.0%,The Netherlands,"Since 1870, Amstel Pilsener full malt has been brewed with natural ingredients. The result is a clear golden-yellow beer with a full, accessible taste and a firm foam head. The perfect beer to share with friends."
36,Brand Weizen - 2L SUB Keg,£ 10.99,German Wheat Beer,2 Litres,5.1%,The Netherlands,"This German Wheat beer is golden in colour, slightly cloudy with a beautiful foamhead. Flavours of ripe fruit such as banana and apricot take the reins here, leaving a very gentle aftertaste."
37,Tiger - 8L BLADE Keg,£ 36.99,Lager,8 Litres,4.7%,Singapore,"This beer was first brewed in Singapore in 1932, so is made for hotter temperatures and is bound to help satisfy your thirst. The recipe includes rice, malted barley and American Zeus hops, so has a variety of flavours to please the palette. Lagers are often the go-to when pouring pints for a group of friends, so next time you have people over, some Tiger will bring smiles all around."
38,Gösser Märzen - 8L BLADE Keg,£ 37.99,Lager,8 Litres,5.2%,Austria,"Gösser Märzen accounts for about 70% of the Gösser brewery’s output. The bottom-fermented, light full beer is straw-yellow in colour and pleasantly hoppy in fragrance with fine malt notes."
39,Zipfer Urtyp - 2L SUB Keg,£ 10.99,Lager,2 Litres,5.4%,Austria,"This beer, brewed with 4 different hop strains, has a bright golden yellow shine and is full of flavour. Rich in extracts and fruity, with a hint of hops and subtle malt tones, Zipfer Urtyp is the epitome of a premium Austrian beer."
40,Affligem Blond - 8L BLADE Keg,£ 40.99,Blond Beer,8 Litres,6.7%,Belgium,"Amber, golden and clear, with a large, firm white head. Its sweet, fruity aromas make this the king of the Abbey beers. This Tripel has the perfect balance between a solid body and a refreshing flavour."
41,Puntigamer - 2L SUB Keg,£ 10.99,Lager,2 Litres,5.2%,Austria,"The bright yellow already promises beer enjoyment. The pleasantly malty, fruity taste and the finely tuned hops give Austria’s most popular Märzen beer its unique character."
42,Mama IPA - 2L SUB Keg,£ 16.99,IPA,2 Litres,5.9%,Italy,"This pure malt light beer is produced with 100% barley malt, with an intense, dry taste and a herbaceous aftertaste created by the use of selected aromatic hops. When poured, it has a compact, creamy and adherent foam. It is also unfiltered, unpasteurized, top fermented and refermented in the bottle to create a showstopping IPA."
43,Zundert 10 Quadrupel Trappistbeer - 2L SUB Keg,£ 19.99,Quadrupel Beer,2 Litres,10.0%,The Netherlands,"Zundert 10 Trappist is a quadrupel, a top-fermented beer with secondary fermentation in the bottle. Zundert 10 Trappist has a spicy touch. This Trappist beer has a deep red-brown color, with a beautiful, light beige foam head. The scent gives hints of dried southern fruits, sultry herbs, liquorice and a little chocolate. The taste is full and soft, balanced by a nice hop bitterness. The characteristic Zundert spiciness subtly returns in the aftertaste. Zundert 10 Trappist contains 10% alcohol."
44,Edelweiss Wheat - 8L BLADE Keg,£ 38.99,German Wheat Beer,8 Litres,4.9%,Austria,"Edelweiss Wheat is naturally cloudy and of a bright, golden yellow colour. This particularly smooth beer is brewed with all natural ingredients: pure water and selected premium ingredients that guarantee a balanced taste and mild finish. The final touch of mountain herbs and spices (sage, coriander and elderflower), adds a unique fruitiness and highly refreshing after taste that will delight your senses."
45,Affligem Tripel - 2L SUB Keg,£ 13.99,Tripel Beer,2 Litres,8.5%,Belgium,"This gold-coloured beer has an intense, rich taste with a full-bodied character of stone fruits and citrus. The refermentation in the bottle gives Affligem Tripel its characteristic effervescent character and fresh aftertaste."
46,Hapkin - 8L BLADE Keg,£ 45.99,Blond Beer,8 Litres,8.3%,Belgium,"Blonde, slightly cloudy beer with a very generous white head. Sweet aromas give this beer real body and its aftertaste is deeply sweet and alcoholic."
47,Villacher Märzen - 8L BLADE Keg,£ 37.99,Lager,8 Litres,5.0%,Austria,"Villacher Marzen is a very drinkable lager where the malty and toasted bread-like taste and smell is the highlight of the beer. The presence of hops is not noticeable in the smell and taste, but the beer does have a moderate hop bitterness. This beer has a radiant, golden yellow colour and fine-bubble foam whilst being incredibly refreshing and sparkling to taste. It was awarded the golden DLG seal in 2014 and 2015."
